"Id","Name","Path","UserName","CPU","WS","Date"
"2168","cmd","C:\Windows\system32\cmd.exe","YSN\?????????????","0,03125","2568192","07.12.2022 0:04:29"
"2136","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","218,328125","208367616","07.12.2022 0:04:29"
"3528","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","1,09375","55394304","07.12.2022 0:04:29"
"3624","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","27,53125","87830528","07.12.2022 0:04:29"
"3744","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","409,5","161775616","07.12.2022 0:04:29"
"3912","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","0,015625","9388032","07.12.2022 0:04:29"
"4024","Code","C:\ProgramData\Microsoft VS Code\Code.exe","YSN\?????????????","1,140625","65753088","07.12.2022 0:04:29"
"3568","CodeHelper","c:\ProgramData\Microsoft VS Code\resources\app\out\vs\platform\files\node\watcher\win32\CodeHelper.exe","YSN\?????????????","0,078125","13766656","07.12.2022 0:04:29"
"1420","conhost","C:\Windows\system32\conhost.exe","YSN\?????????????","0","3252224","07.12.2022 0:04:29"
"1976","conhost","C:\Windows\system32\conhost.exe","YSN\?????????????","0,078125","7716864","07.12.2022 0:04:29"
"2704","conhost","C:\Windows\system32\conhost.exe","YSN\?????????????","0,25","5718016","07.12.2022 0:04:29"
"364","csrss","","","0,140625","4046848","07.12.2022 0:04:29"
"436","csrss","","","25,84375","30068736","07.12.2022 0:04:29"
"1584","dfsrs","C:\Windows\system32\DFSRs.exe","NT AUTHORITY\???????","0,21875","20160512","07.12.2022 0:04:29"
"1860","dfssvc","C:\Windows\system32\dfssvc.exe","NT AUTHORITY\???????","0","5320704","07.12.2022 0:04:29"
"1624","dns","C:\Windows\system32\dns.exe","NT AUTHORITY\???????","0,0625","87134208","07.12.2022 0:04:29"
"836","dwm","C:\Windows\system32\dwm.exe","Window Manager\DWM-1","18,265625","75157504","07.12.2022 0:04:29"
"2972","explorer","C:\Windows\Explorer.EXE","YSN\?????????????","14,671875","123011072","07.12.2022 0:04:29"
"0","Idle","","","","4096","07.12.2022 0:04:29"
"1664","ismserv","C:\Windows\System32\ismserv.exe","NT AUTHORITY\???????","0","4722688","07.12.2022 0:04:29"
"532","lsass","C:\Windows\system32\lsass.exe","NT AUTHORITY\???????","3,3125","56688640","07.12.2022 0:04:29"
"1544","Microsoft.ActiveDirectory.WebServices","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","NT AUTHORITY\???????","0,296875","42881024","07.12.2022 0:04:29"
"2560","msdtc","C:\Windows\System32\msdtc.exe","NT AUTHORITY\NETWORK SERVICE","0,015625","6471680","07.12.2022 0:04:29"
"3456","powershell","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","YSN\?????????????","0,46875","92196864","07.12.2022 0:04:29"
"4872","powershell","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","YSN\?????????????","0,171875","55971840","07.12.2022 0:04:29"
"524","services","","","0,125","8114176","07.12.2022 0:04:29"
"252","smss","","","0","1044480","07.12.2022 0:04:29"
"1516","spoolsv","C:\Windows\System32\spoolsv.exe","NT AUTHORITY\???????","0,046875","9273344","07.12.2022 0:04:29"
"220","svchost","C:\Windows\System32\svchost.exe","NT AUTHORITY\???????","0,015625","8650752","07.12.2022 0:04:29"
"368","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\NETWORK SERVICE","0,0625","15736832","07.12.2022 0:04:29"
"684","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\???????","0,046875","9494528","07.12.2022 0:04:29"
"728","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\NETWORK SERVICE","0,296875","6848512","07.12.2022 0:04:29"
"888","svchost","C:\Windows\System32\svchost.exe","NT AUTHORITY\LOCAL SERVICE","1,703125","26361856","07.12.2022 0:04:29"
"936","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\???????","3,6875","33304576","07.12.2022 0:04:29"
"964","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\LOCAL SERVICE","0,109375","16732160","07.12.2022 0:04:29"
"1084","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\LOCAL SERVICE","0,0625","10698752","07.12.2022 0:04:29"
"1644","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\LOCAL SERVICE","0,03125","7438336","07.12.2022 0:04:29"
"1832","svchost","C:\Windows\System32\svchost.exe","NT AUTHORITY\NETWORK SERVICE","0","4014080","07.12.2022 0:04:29"
"1900","svchost","C:\Windows\System32\svchost.exe","NT AUTHORITY\???????","0,046875","11911168","07.12.2022 0:04:29"
"2204","svchost","C:\Windows\system32\svchost.exe","NT AUTHORITY\NETWORK SERVICE","0","4366336","07.12.2022 0:04:29"
"4012","svchost","C:\Windows\System32\svchost.exe","NT AUTHORITY\???????","0","4579328","07.12.2022 0:04:29"
"4","System","","","14,375","274432","07.12.2022 0:04:29"
"2920","taskhostex","C:\Windows\system32\taskhostex.exe","YSN\?????????????","0","8716288","07.12.2022 0:04:29"
"824","VBoxService","C:\Windows\System32\VBoxService.exe","NT AUTHORITY\???????","0,171875","6062080","07.12.2022 0:04:29"
"3152","VBoxTray","C:\Windows\System32\VBoxTray.exe","YSN\?????????????","0,1875","6807552","07.12.2022 0:04:29"
"2256","vds","C:\Windows\System32\vds.exe","NT AUTHORITY\???????","0,03125","8138752","07.12.2022 0:04:29"
"428","wininit","C:\Windows\system32\wininit.exe","NT AUTHORITY\???????","0,015625","3739648","07.12.2022 0:04:29"
"464","winlogon","C:\Windows\system32\winlogon.exe","NT AUTHORITY\???????","0,03125","6017024","07.12.2022 0:04:29"
"1956","winpty-agent","c:\ProgramData\Microsoft VS Code\resources\app\node_modules.asar.unpacked\node-pty\build\Release\winpty-agent.exe","YSN\?????????????","0,03125","8024064","07.12.2022 0:04:29"
